county,county,fips_code,dem_2008,gop_2008,oth_2008,2008
MI,delta,26041,9974,8763,327,2008
TX,lipscomb,48295,155,1093,8,2008
AL,walker,01127,7420,20722,510,2008
TX,reeves,48389,1606,1445,26,2008
WY,hot springs,56017,619,1834,93,2008
KS,doniphan,20043,1115,2372,77,2008
NC,wake,37183,250891,187001,4353,2008
NC,pitt,37147,40501,33927,456,2008
TX,wise,48497,4471,15973,195,2008
KY,russell,21207,1569,5779,127,2008
AR,grant,05053,1562,5023,208,2008
NE,richardson,31147,1513,2342,113,2008
TN,monroe,47123,5053,11484,240,2008
NY,nassau,36059,342185,288776,4657,2008
AL,bullock,01011,4011,1391,13,2008
PA,fulton,42057,1576,4642,88,2008
KS,coffey,20031,1121,3054,57,2008
NE,saline,31151,2674,2434,143,2008
NE,clay,31035,780,2177,76,2008
MS,desoto,28033,19627,44222,474,2008
LA,lincoln parish,22061,8292,10680,207,2008
OK,roger mills,40129,287,1502,0,2008
LA,lafourche parish,22057,9662,27089,1142,2008
OK,sequoyah,40135,4454,9466,0,2008
VA,prince william,51153,93435,67621,1390,2008
ME,york,23031,64799,42389,1973,2008
ME,lincoln,23015,11886,9287,411,2008
TN,claiborne,47025,3078,7175,167,2008
MO,dekalb,29063,1692,2889,102,2008
PA,delaware,42045,178870,115273,2861,2008
FL,sumter,12119,17655,30866,347,2008
NY,monroe,36055,207371,144262,4791,2008
IN,fountain,18045,3094,4158,158,2008
OH,hancock,39063,13870,22420,691,2008
NJ,cape may,34009,22893,27288,654,2008
MS,harrison,28047,22673,38757,527,2008
AR,van buren,05141,2151,4276,276,2008
TX,morris,48343,2055,3158,35,2008
MT,pondera,30073,1223,1588,74,2008
TN,wayne,47181,1355,4076,96,2008
TX,floyd,48153,730,1784,7,2008
SD,sully,46119,233,581,19,2008
IA,jackson,19097,6102,3673,180,2008
MS,lowndes,28087,13209,13994,262,2008
IL,putnam,17155,1900,1378,59,2008
SC,oconee,45073,9481,21164,487,2008
NY,steuben,36101,17148,24203,560,2008
NC,perquimans,37143,2772,3678,51,2008
MS,forrest,28035,11622,15296,266,2008
NE,cedar,31027,1190,2912,72,2008
GA,hancock,13141,3535,795,14,2008
OH,logan,39091,7936,13848,433,2008
OH,guernsey,39059,7625,9197,503,2008
TX,live oak,48297,1048,3095,33,2008
TN,scott,47151,1720,4931,132,2008
MT,fergus,30027,1933,4108,191,2008
NM,harding,35021,260,358,8,2008
ME,waldo,23027,11967,9423,460,2008
UT,carbon,49007,3468,4091,218,2008
KS,ellsworth,20053,851,2021,66,2008
MN,pennington,27113,3394,3248,180,2008
MN,wadena,27159,2882,4128,159,2008
IN,pulaski,18131,2466,3388,110,2008
ND,hettinger,38041,406,893,49,2008
MS,alcorn,28003,4130,10805,247,2008
IA,osceola,19143,1037,2027,63,2008
VT,essex,50009,1733,1284,84,2008
AL,calhoun,01015,16334,32348,560,2008
GA,seminole,13253,1660,2315,21,2008
CA,trinity,06105,3233,2940,201,2008
IL,union,17181,3918,5003,195,2008
NE,douglas,31055,116810,106291,3600,2008
VA,hopewell city,51670,5285,4149,90,2008
KS,kingman,20095,963,2603,98,2008
